Mb.start	Mb.end	signif
183.50463660731	191.684555379267	ns
191.693946790027	191.769078076107	lo
191.778469486867	192.839698902747	ns
192.849090313507	192.858481724267	lo
192.867873135027	192.914830188827	ns
192.924221599587	193.046309939467	lo
193.055701350227	198.127063160626	ns
198.136454571386	198.249151500505	hi
198.258542911265	204.175131690064	ns
204.184523100824	204.203305922344	hi
204.212697333104	204.240871565384	ns
204.250262976144	204.625919406544	hi
204.635310817304	204.672876460344	ns
204.682267871104	204.766790567944	hi
204.776181978704	207.039511971863	ns
207.048903382623	207.368211348463	lo
207.377602759223	208.974142588423	ns
208.983533999183	209.293450554262	lo
209.302841965022	210.260765862542	ns
210.270157273302	210.411028434702	lo
210.420419845462	210.974513080302	ns
210.983904491062	210.983904491062	lo
210.993295901822	211.678868887302	ns
211.688260298062	211.819740048702	lo
211.829131459462	213.960981701981	ns
213.970373112741	214.214549792501	lo
214.223941203261	215.266387797621	ns
215.275779208381	215.341519083701	lo
215.350910494461	217.19162700342	ns
217.20101841418	217.79267729206	lo
217.80206870282	227.127739587498	ns
227.137130998258	227.353133445738	lo
227.362524856497	227.663050000817	ns
227.672441411577	227.982357966657	lo
227.991749377417	238.275344159614	ns
238.284735570374	238.444389553294	hi
238.453780964054	244.360978332093	ns
244.370369742853	244.511240904253	lo
244.520632315013	248.286588029772	ns
248.295979440532	248.737375746252	lo
248.746767157012	249.676516822251	ns
249.685908233011	249.779822340611	lo
249.789213751371	250.099130306451	ns
250.108521717211	250.286958521651	lo
250.296349932411	250.991314328651	ns
251.000705739411	251.113402668531	lo
251.122794079291	254.48491913137	ns
254.49431054213	254.57883323897	hi
254.58822464973	255.60249701181	ns
255.61188842257	255.66823688713	hi
255.67762829789	255.79971663777	ns
255.80910804853	255.87484792385	hi
255.88423933461	255.97815344221	ns
255.98754485297	256.18476447893	hi
256.19415588969	257.490170574569	ns
257.499561985329	257.724955843569	hi
257.734347254329	259.443584012649	ns
259.452975423409	259.471758244929	hi
259.481149655689	260.326376624088	ns
260.335768034848	260.420290731688	hi
260.429682142448	261.782045291888	ns
261.791436702648	261.922916453288	lo
261.932307864048	261.941699274808	ns
261.951090685568	262.073179025448	lo
262.082570436208	265.519826774367	ns
265.529218185127	265.632523703487	hi
265.641915114247	267.097583782047	ns
267.106975192807	267.125758014327	lo
267.135149425087	268.318467180846	ns
268.327858591606	268.384207056166	lo
268.393598466926	271.154673230366	ns
271.164064641125	271.417632731645	lo
271.427024142405	271.746332108245	ns
271.755723519005	272.028074431045	lo
272.037465841805	279.841728183363	ns
279.851119594123	280.020164987803	hi
280.029556398563	280.414604239723	ns
280.423995650483	280.480344115043	hi
280.489735525803	281.015654528363	ns
281.025045939123	281.259831208123	hi
281.269222618883	284.866132939962	ns
