Mb.start	Mb.end	signif
52.2460997059866	52.300063546537	lo
52.3090575199621	53.613183666598	ns
53.6221776400231	53.6671475071484	lo
53.6761414805735	53.8740088959252	ns
53.8830028693503	54.089864258127	lo
54.0988582315521	65.3233370660459	ns
65.332331039471	65.5212044813976	lo
65.5301984548226	66.0068790463516	ns
66.0158730197767	66.1417886477277	lo
66.1507826211528	66.7353908937827	ns
66.7443848672078	66.7803607609081	lo
66.7893547343332	67.1581076447612	ns
67.1671016181863	67.2570413524371	lo
67.2660353258621	71.8709497195006	ns
71.8799436929257	71.9878713740266	lo
71.9968653474517	72.5185158061061	ns
72.5275097795311	72.5275097795311	lo
72.5365037529562	72.7253771948828	ns
72.7343711683079	73.6427624842404	lo
73.6517564576655	74.6860634015492	ns
74.6950573749743	74.7670091623748	lo
74.7760031357999	74.8929247903259	ns
74.901918763751	75.0907922056776	lo
75.0997861791026	75.5225029300812	ns
75.5314969035062	75.6933884251576	lo
75.7023823985827	78.8232911770838	ns
78.8322851505088	79.1830501140868	hi
79.1920440875118	80.1184233502946	ns
80.1274173237197	80.3072967922212	hi
80.3162907656462	80.999832745952	ns
81.008826719377	81.4315434703556	hi
81.4405374437806	82.2320071051873	ns
82.2410010786123	82.4028926002637	hi
82.4118865736888	82.9785068994685	ns
82.9875008728936	83.1853682882452	hi
83.1943622616703	83.2123502085205	ns
83.2213441819455	83.5811031189485	hi
83.5900970923736	85.2719701228627	ns
85.2809640962877	85.3978857508137	hi
85.4068797242388	85.7486507143917	ns
85.7576446878167	85.8475844220675	hi
85.8565783954926	85.910542236043	ns
85.9195362094681	86.1623734919451	hi
86.1713674653702	86.4052107744221	ns
86.4142047478472	86.4411866681225	hi
86.4501806415475	86.9448491799267	ns
86.9538431533517	87.1517105687034	hi
87.1607045421285	92.1163838993449	ns
92.12537787277	92.485136809773	hi
92.4941307831981	92.7009921719748	ns
92.7099861453999	93.0157812418524	hi
93.0247752152775	93.3845341522805	ns
93.3935281257056	93.564413620782	hi
93.5734075942071	95.3901902260723	ns
95.3991841994973	95.9028467113015	hi
95.9118406847266	96.0107743924025	ns
96.0197683658275	96.1726659140538	hi
96.1816598874789	96.4244971699559	ns
96.433491143381	96.6223645853076	hi
96.6313585587326	96.7842561069589	ns
96.793250080384	96.8022440538091	hi
96.8112380272342	96.9281596817601	ns
96.9371536551852	97.0810572299864	hi
97.0900512034115	97.5667317949405	ns
97.5757257683655	97.7376172900169	hi
97.746611263442	101.739935464175	ns
101.7489294376	101.757923411026	lo
101.766917384451	102.702290620658	ns
102.711284594083	102.738266514359	lo
102.747260487784	103.493760282065	ns
103.50275425549	103.637663856866	lo
103.646657830291	106.884488263318	ns
106.893482236743	107.001409917844	lo
107.010403891269	111.624312258333	ns
111.633306231758	111.669282125458	hi
111.678276098883	118.38778027399	ns
118.396774247415	118.450738087965	lo
118.45973206139	119.233213775947	ns
119.242207749372	119.422087217873	lo
119.431081191298	121.904423883194	ns
121.913417856619	122.111285271971	lo
122.120279245396	137.437015988299	ns
137.446009961724	137.6168954568	lo
137.625889430225	137.688847244201	ns
137.697841217626	138.021624260929	lo
